severity,lng,lat
property,149.129732,-35.275407
property,149.12523,-35.279816
property,149.067749,-35.246621
injury,149.061037,-35.221098
injury,149.03856,-35.253032
injury,149.129155,-35.279596
injury,149.131117,-35.266834
property,149.063751,-35.240449
injury,149.062183,-35.205588
injury,149.114824,-35.299275
property,149.152799,-35.194185
property,149.143962,-35.187254
property,149.132234,-35.260533
property,149.135594,-35.249357
property,149.103347,-35.236087
property,149.091348,-35.437646
injury,149.136422,-35.303516
injury,149.074225,-35.225719
injury,149.074406,-35.424743
property,149.148002,-35.320624
injury,149.127851,-35.287045
property,149.092782,-35.371915
property,149.085654,-35.429408
property,149.084889,-35.350842
property,149.119501,-35.306867
injury,149.133557,-35.276275
property,149.073544,-35.451007
property,149.074859,-35.242999
property,149.12807,-35.277011
property,149.126684,-35.24309
property,149.129009,-35.271203
injury,149.130071,-35.273309
property,149.133043,-35.319155
property,149.082231,-35.324247
injury,149.124516,-35.278304
property,149.097795,-35.247012
injury,149.147682,-35.24735
property,149.138603,-35.250486
injury,149.130518,-35.270543
property,149.133857,-35.274949
injury,149.088041,-35.357247
property,149.12966,-35.275854
fatal,149.138738,-35.278305
property,149.130525,-35.258957
injury,149.132694,-35.317695
injury,149.11732,-35.27241
injury,149.140948,-35.249816
property,149.187189,-35.297544
property,149.135218,-35.251687
property,149.129356,-35.277734
property,149.129316,-35.317672
injury,149.144379,-35.290862
injury,149.1004,-35.350879
injury,149.060606,-35.226172
property,149.116662,-35.282497
property,149.106995,-35.168742
injury,149.12907,-35.279505
injury,149.129453,-35.277135
property,149.096042,-35.371913
property,149.112934,-35.27746
injury,149.086165,-35.332076
injury,149.13316,-35.305951
injury,149.127598,-35.29156
property,149.129883,-35.266098
injury,149.074321,-35.347672
property,149.143722,-35.276175
injury,149.091038,-35.183684
injury,149.124069,-35.282607
property,149.054086,-35.219133
property,149.13259,-35.266391
injury,149.083452,-35.346774
property,149.170456,-35.29244
injury,149.151434,-35.324934
property,149.130944,-35.337252
property,149.154444,-35.343038
property,149.123364,-35.269545
property,149.140011,-35.264848
injury,149.128937,-35.280328
injury,149.128816,-35.272909
injury,149.130624,-35.278565
property,149.129344,-35.278426
property,149.141104,-35.272024
property,149.178096,-35.33095
injury,149.141787,-35.311098
property,149.129625,-35.276069
injury,149.07853,-35.424081
injury,149.144931,-35.231865
property,149.096927,-35.457404
property,149.124629,-35.275845
injury,149.150949,-35.291556
injury,149.109556,-35.323553
property,149.128919,-35.182119
property,149.067577,-35.239184
injury,149.102291,-35.313288
injury,149.149669,-35.337512
injury,149.121479,-35.311673
injury,149.136934,-35.275188
property,149.031187,-35.224525
injury,149.194407,-35.320999
injury,149.085459,-35.3876
property,149.130113,-35.27305
property,149.127687,-35.193365
injury,149.07449,-35.41535
injury,149.122369,-35.304152
injury,149.117673,-35.270813
property,149.147708,-35.259282
injury,149.131897,-35.270686
property,149.135928,-35.186981
injury,149.122383,-35.304274
injury,149.09778,-35.247004
injury,149.119859,-35.247679
property,149.133752,-35.276381
injury,149.12997,-35.412256
injury,149.123376,-35.269468
injury,149.134787,-35.183285
injury,149.163512,-35.326221
property,149.12393,-35.282661
injury,149.056976,-35.347806
property,149.09009,-35.312926
property,149.070707,-35.348329
injury,149.124481,-35.280827
injury,149.11429,-35.265397
property,149.12107,-35.262998
injury,149.074335,-35.225882
injury,149.089776,-35.257186
injury,149.138552,-35.265421
property,149.082151,-35.313254
injury,149.098261,-35.313132
property,149.031869,-35.237072
property,149.12629,-35.278495
injury,149.177338,-35.334828
property,149.142221,-35.275543
property,149.134416,-35.185461
property,149.065083,-35.255994
property,149.093073,-35.384324
property,149.069208,-35.241109
property,149.027076,-35.205472
injury,149.115138,-35.278531
injury,149.09826,-35.303809
injury,149.05425,-35.218054
injury,149.13326,-35.253564
property,149.146626,-35.262234
property,149.133305,-35.252666
property,149.119441,-35.307031
property,149.140229,-35.264763
property,149.097706,-35.246963
injury,149.140876,-35.249789
property,149.130651,-35.270338
injury,149.085167,-35.284453
property,149.131281,-35.316158
injury,149.11468,-35.271083
injury,149.131772,-35.262776
property,149.129771,-35.275784
property,149.119393,-35.269151
property,149.128514,-35.274268
injury,149.085286,-35.242388
injury,149.085766,-35.341163
property,149.11859,-35.279419
property,149.139905,-35.215324
injury,149.142069,-35.27317
injury,149.086479,-35.328936
property,149.086281,-35.194228
property,149.122283,-35.188468
injury,149.130113,-35.27305
injury,149.131721,-35.26309
injury,149.149417,-35.337657
property,149.126015,-35.275376
injury,149.089698,-35.257303
property,149.142134,-35.310708
property,149.126797,-35.279936
injury,149.126783,-35.275459
property,149.135148,-35.252123
property,149.090916,-35.34649
property,149.13867,-35.26553
property,149.149468,-35.337497
property,149.126569,-35.242849
injury,149.143279,-35.269879
property,149.130501,-35.279329
injury,149.13924,-35.186261
property,149.096027,-35.202361
injury,149.12101,-35.249365
property,149.08048,-35.313981
property,149.098885,-35.305732
property,149.143458,-35.290838
injury,149.145614,-35.311686
property,149.132036,-35.261141
property,149.128313,-35.275625
property,149.095446,-35.366677
injury,149.123655,-35.281777
