,school,type,district,capacity,capacity_now,capacity_2027,lng,lat,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,year_2026,year_2027
84,Throsby School,primary,Gungahlin,450.0,0.266666667,1.14,149.1649482,-35.19316702,,,,,,,,,,,,,,120.0,231.0,316.0,400.0,461.0,513.0
85,Torrens Primary,primary,Woden Valley,583.0,0.728987993,0.79245283,149.0913969,-35.37131892,414.0,395.0,388.0,401.0,400.0,402.0,410.0,434.0,437.0,445.0,463.0,452.0,467.0,425.0,428.0,438.0,451.0,456.0,462.0
86,Turner School,primary,North Canberra,573.0,0.778359511,0.827225131,149.1261163,-35.26518651,456.0,467.0,458.0,467.0,486.0,478.0,504.0,521.0,503.0,485.0,492.0,495.0,463.0,446.0,458.0,457.0,452.0,462.0,474.0
87,UC High Kaleen,high,Belconnen,657.0,0.780821918,0.802130898,149.101149,-35.22532541,212.0,210.0,208.0,196.0,199.0,216.0,230.0,267.0,272.0,340.0,376.0,431.0,491.0,513.0,520.0,538.0,531.0,526.0,527.0
88,UC SSC Lake Ginninderra,college,Belconnen,825.0,0.80969697,0.949090909,149.073755,-35.2390998,681.0,786.0,569.0,423.0,481.0,583.0,613.0,657.0,668.0,565.0,629.0,701.0,664.0,664.0,726.0,742.0,749.0,775.0,783.0
89,Wanniassa Hills Primary,primary,Tuggeranong,608.0,0.598684211,0.518092105,149.0960595,-35.39287476,349.0,368.0,358.0,333.0,357.0,364.0,352.0,342.0,372.0,378.0,370.0,397.0,369.0,364.0,349.0,345.0,324.0,321.0,315.0
90,Wanniassa School*,primary,Tuggeranong,391.4837398,149.0856895,-35.3984307,149.0960595,-35.39287476,205.0,212.0,213.0,211.0,203.0,210.0,215.0,209.0,233.0,226.0,230.0,230.0,215.0,206.0,213.0,209.0,211.0,211.0,211.0
91,Wanniassa School*,high,Tuggeranong,543.5162602,0.526203209,0.482046296,149.0858288,-35.39488128,318.0,321.0,271.0,228.0,215.0,205.0,206.0,189.0,175.0,192.0,214.0,213.0,265.0,286.0,273.0,281.0,269.0,261.0,262.0
92,Weetangera Primary,primary,Belconnen,585.0,0.811965812,0.866666667,149.0476249,-35.25195848,328.0,355.0,347.0,357.0,398.0,377.0,392.0,388.0,401.0,427.0,426.0,465.0,479.0,475.0,484.0,489.0,495.0,504.0,507.0
93,Yarralumla Primary,primary,South Canberra,483.0,0.751552795,0.714285714,149.1027194,-35.30677558,202.0,199.0,186.0,198.0,245.0,276.0,300.0,304.0,336.0,382.0,382.0,391.0,392.0,363.0,375.0,360.0,354.0,351.0,345.0
94,new high in Kenny,high,Gungahlin,,,,,,,,,,,,,,,,,,,,,143.0,259.0,355.0,444.0
95,new high in Taylor,high,Gungahlin,,,,,,,,,,,,,,,,,,,,,97.0,188.0,281.0,366.0
96,new primary in Strathnairn,primary,Belconnen,,,,,,,,,,,,,,,,,,,,,,43.0,97.0,160.0
